$7,true,true,false,false,true,true,false,false
$4,true,true,true,true,true,true,true,true
$5,true,false,false,false,true,false,false,false
out,true,false,false,false,true,false,false,false
$3,false,true,true,true,false,true,true,true
$6,false,false,false,false,false,false,false,false
$1,true,false,false,false,true,false,false,false
in1,false,false,false,false,true,true,true,true
in3,false,true,false,true,false,true,false,true
in2,false,false,true,true,false,false,true,true
$2,false,false,false,false,false,false,false,false
